Equipos,,2010,,,,,,,,,,,2014,,,,,,,,,,,2018,,,,,,,,,,
Argentina,,,NaN,3,-2,2,1,1,0,1,1,4,,NaN,0,NaN,3,0,4,2,2,3,3,,NaN,2,0,1,3,-2,0,,1,0
Bolivia,,,5,NaN,1,-2,0,-2,2,3,2,-1,,0,NaN,NaN,0,-1,0,2,1,3,1,,2,NaN,,1,-1,2,1,2,-2,2
Brasil,,,0,0,NaN,2,0,5,1,3,1,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,3,5,NaN,,1,2,3,3,0,2
Chile,,,1,4,-3,NaN,4,1,-3,2,0,0,,-1,3,NaN,NaN,-2,2,2,2,2,3,,-1,0,2,NaN,0,,-3,2,2,2
Colombia,,,1,2,0,2,NaN,2,-1,1,0,1,,-1,5,NaN,0,NaN,1,2,2,4,0,,-1,1,0,0,NaN,2,,2,0,2
Ecuador,,,2,3,0,1,0,NaN,0,5,-1,-1,,0,1,NaN,2,1,NaN,4,2,1,2,,,2,0,3,-2,NaN,0,-1,1,3
Paraguay,,,1,1,2,-2,-2,4,NaN,1,1,2,,-3,4,NaN,-1,-1,1,NaN,1,0,-2,,0,1,0,1,-1,1,NaN,-3,-1,
Perú,,,1,1,0,-2,0,-1,0,NaN,1,1,,1,0,NaN,1,-1,1,2,NaN,-1,1,,0,1,-2,-1,,2,1,NaN,1,2
Uruguay,,,-1,5,-4,0,2,0,2,6,NaN,0,,1,2,NaN,4,2,0,0,2,NaN,0,,0,,-3,3,3,1,4,1,NaN,3
Venezuela,,,-2,2,-4,-1,2,2,-1,2,0,NaN,,1,1,NaN,-2,1,0,0,1,-1,NaN,,0,5,-2,-3,0,-2,-1,0,,NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipos,,1998,,,,,,,,,,,2002,,,,,,,,,,,2006,,,,,,,,,,
Argentina,,,NaN,2,NaN,0,0,1,0,2,0,2,,NaN,1,1,3,3,2,0,2,1,5,,NaN,3,2,0,1,1,0,2,2,1
Bolivia,,,1,NaN,NaN,1,0,2,0,0,1,5,,0,NaN,2,1,0,-4,0,1,0,5,,-1,NaN,0,-2,4,-1,1,1,0,2
Brasil,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,2,5,NaN,2,1,1,2,0,0,3,,2,2,NaN,5,0,1,3,1,0,3
Chile,,,-1,3,NaN,NaN,4,3,2,4,1,6,,-2,0,3,NaN,-1,0,2,0,-1,-2,,0,2,0,NaN,0,0,-1,1,0,1
Colombia,,,-1,3,NaN,3,NaN,1,1,-1,2,1,,-2,2,0,2,NaN,0,-2,-1,1,3,,0,1,-1,0,NaN,3,0,5,5,-1
Ecuador,,,2,1,NaN,1,0,NaN,1,3,4,1,,-2,2,1,1,0,NaN,1,2,0,2,,2,1,1,2,1,NaN,3,0,0,2
Paraguay,,,-1,1,NaN,1,2,1,NaN,1,2,1,,0,4,1,1,-4,2,NaN,4,1,3,,1,3,0,1,-1,1,NaN,0,3,1
Perú,,,0,1,NaN,1,0,0,1,NaN,1,3,,-1,1,-1,2,-1,-1,2,NaN,-2,1,,-2,3,0,1,-2,0,3,NaN,0,0
Uruguay,,,0,1,NaN,1,0,2,-2,2,NaN,2,,0,1,1,1,0,4,0,0,NaN,2,,1,5,0,1,1,1,1,-2,NaN,-3
Venezuela,,,-3,1,NaN,0,-2,0,0,-3,-2,NaN,,-4,2,-6,-2,0,-1,2,3,2,NaN,,-3,1,-3,-1,0,2,-1,3,0,NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Promedios,,,,,,,,,,,Diff L-V,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
